	Tcf3(HMG)/mES-Tcf3-ChIP-Seq(GSE11724)/Homer	UP00058_1	UP00058_2	sci09.v1_Tcf3_3787	sci09.v2_Tcf3_3787	TCF3_DBD	Guertin_TCF3_1	Guertin_TCF3_2	Guertin_TCF3_3	Guertin_TCF3_4	MA0091.1	MA0522.1
Tcf3(HMG)/mES-Tcf3-ChIP-Seq(GSE11724)/Homer	1.0	0.9602358	0.626068885252	0.63203847403	0.61896995408	0.572947704426	0.747366602283	0.606558133306	0.9555524	0.684341901128	0.6511909	0.575680534808
UP00058_1	0.9602358	0.999999899726	0.703276327055	0.713412813835	0.703015581967	0.6293509	0.7548839	0.666524049432	0.929489	0.719837900192	0.7088071	0.632709350215
UP00058_2	0.626068885252	0.703276327055	0.999999230478	0.832500220724	0.85470412157	0.599023935172	0.703915984112	0.632221589661	0.617580718762	0.741363280501	0.648342738708	0.618229790592
sci09.v1_Tcf3_3787	0.63203847403	0.713412813835	0.832500220724	0.999999312527	0.9435714	0.605986977927	0.712482076058	0.614329977554	0.61774791811	0.783831449642	0.659092636512	0.596997745592
sci09.v2_Tcf3_3787	0.61896995408	0.703015581967	0.85470412157	0.9435714	0.999999673873	0.601839549625	0.7265862932	0.612683715167	0.611575126707	0.767724505641	0.651203467133	0.596387819263
TCF3_DBD	0.572947704426	0.6293509	0.599023935172	0.605986977927	0.601839549625	1.0	0.71842788583	0.9145518	0.5921106	0.530359680614	0.8113818	0.8737384
Guertin_TCF3_1	0.747366602283	0.7548839	0.703915984112	0.712482076058	0.7265862932	0.71842788583	0.999999635842	0.710688173611	0.761065929682	0.755120199054	0.7428786	0.712098273611
Guertin_TCF3_2	0.606558133306	0.666524049432	0.632221589661	0.614329977554	0.612683715167	0.9145518	0.710688173611	0.99999967723	0.6582799	0.5572982	0.8503586	0.9436376
Guertin_TCF3_3	0.9555524	0.929489	0.617580718762	0.61774791811	0.611575126707	0.5921106	0.761065929682	0.6582799	1.0	0.748896417361	0.6477273	0.6046003
Guertin_TCF3_4	0.684341901128	0.719837900192	0.741363280501	0.783831449642	0.767724505641	0.530359680614	0.755120199054	0.5572982	0.748896417361	0.999999659731	0.716000937855	0.630078366932
MA0091.1	0.6511909	0.7088071	0.648342738708	0.659092636512	0.651203467133	0.8113818	0.7428786	0.8503586	0.6477273	0.716000937855	1.0	0.8519602
MA0522.1	0.575680534808	0.632709350215	0.618229790592	0.596997745592	0.596387819263	0.8737384	0.712098273611	0.9436376	0.6046003	0.630078366932	0.8519602	1.0
